"date","day","temp","time","tank","day_tank","pot","treatment","stand_water","individual","line_length","deltaL","datetime","week","labels_datetime","Temperature","ccLabel"
"10/27/2019","D4",20,"10:30","tank3","D4_H2","HNW","heating","no","Red",231,0,"10/27/2019 10:30","week1","tank3_heating_no_10/27/2019 10:30",16.21429918,"tank3_heating_no_Red"
"10/27/2019","D4",20,"10:30","tank2","D4_C2","CW","control","yes","Red",227,0,"10/27/2019 10:30","week1","tank2_control_yes_10/27/2019 10:30",16.78108896,"tank2_control_yes_Red"
"10/27/2019","D4",20,"10:30","tank2","D4_C2","CNW","control","no","Red",226,0,"10/27/2019 10:30","week1","tank2_control_no_10/27/2019 10:30",17.01749214,"tank2_control_no_Red"
"10/27/2019","D4",20,"10:30","tank1","D4_C1","CW","control","yes","Red",229,0,"10/27/2019 10:30","week1","tank1_control_yes_10/27/2019 10:30",16.7805712,"tank1_control_yes_Red"
"10/27/2019","D4",20,"10:30","tank1","D4_C1","CNW","control","no","Red",225,0,"10/27/2019 10:30","week1","tank1_control_no_10/27/2019 10:30",16.25711161,"tank1_control_no_Red"
"10/28/2019","D5",20,"10:30","tank4","D5_H1","HW","heating","yes","Red",225,0,"10/28/2019 10:30","week1","tank4_heating_yes_10/28/2019 10:30",16.06433971,"tank4_heating_yes_Red"
"10/28/2019","D5",20,"10:30","tank4","D5_H1","HNW","heating","no","Red",227,0,"10/28/2019 10:30","week1","tank4_heating_no_10/28/2019 10:30",16.27486329,"tank4_heating_no_Red"
"10/28/2019","D5",20,"10:30","tank3","D5_H2","HW","heating","yes","Red",224,0,"10/28/2019 10:30","week1","tank3_heating_yes_10/28/2019 10:30",16.24982483,"tank3_heating_yes_Red"
"10/28/2019","D5",20,"10:30","tank3","D5_H2","HNW","heating","no","Red",230,0,"10/28/2019 10:30","week1","tank3_heating_no_10/28/2019 10:30",16.30074883,"tank3_heating_no_Red"
"10/28/2019","D5",20,"10:30","tank2","D5_C2","CW","control","yes","Red",227,0,"10/28/2019 10:30","week1","tank2_control_yes_10/28/2019 10:30",16.86856498,"tank2_control_yes_Red"
"10/28/2019","D5",20,"10:30","tank2","D5_C2","CNW","control","no","Red",225,0,"10/28/2019 10:30","week1","tank2_control_no_10/28/2019 10:30",17.08498999,"tank2_control_no_Red"
"10/28/2019","D5",20,"10:30","tank1","D5_C1","CW","control","yes","Red",227,0,"10/28/2019 10:30","week1","tank1_control_yes_10/28/2019 10:30",16.79018764,"tank1_control_yes_Red"
"10/28/2019","D5",20,"10:30","tank1","D5_C1","CNW","control","no","Red",224,0,"10/28/2019 10:30","week1","tank1_control_no_10/28/2019 10:30",16.32429326,"tank1_control_no_Red"
"10/24/2019","D1",20,"10:30","tank4","D1_H1","HW","heating","yes","Yellow",223,0,"10/24/2019 10:30","week1","tank4_heating_yes_10/24/2019 10:30",16.13195031,"tank4_heating_yes_Yellow"
"10/24/2019","D1",20,"10:30","tank4","D1_H1","HNW","heating","no","Yellow",228,0,"10/24/2019 10:30","week1","tank4_heating_no_10/24/2019 10:30",16.46689584,"tank4_heating_no_Yellow"
"10/24/2019","D1",20,"10:30","tank3","D1_H2","HW","heating","yes","Yellow",223,0,"10/24/2019 10:30","week1","tank3_heating_yes_10/24/2019 10:30",16.4615505,"tank3_heating_yes_Yellow"
"10/24/2019","D1",20,"10:30","tank3","D1_H2","HNW","heating","no","Yellow",226,0,"10/24/2019 10:30","week1","tank3_heating_no_10/24/2019 10:30",16.41601503,"tank3_heating_no_Yellow"
"10/24/2019","D1",20,"10:30","tank2","D1_C2","CW","control","yes","Yellow",229,0,"10/24/2019 10:30","week1","tank2_control_yes_10/24/2019 10:30",16.96576056,"tank2_control_yes_Yellow"
"10/24/2019","D1",20,"10:30","tank2","D1_C2","CNW","control","no","Yellow",224,0,"10/24/2019 10:30","week1","tank2_control_no_10/24/2019 10:30",17.25855592,"tank2_control_no_Yellow"
"10/24/2019","D1",20,"10:30","tank1","D1_C1","CW","control","yes","Yellow",227,0,"10/24/2019 10:30","week1","tank1_control_yes_10/24/2019 10:30",17.07868083,"tank1_control_yes_Yellow"
"10/24/2019","D1",20,"10:30","tank1","D1_C1","CNW","control","no","Yellow",230,0,"10/24/2019 10:30","week1","tank1_control_no_10/24/2019 10:30",16.62181199,"tank1_control_no_Yellow"
"10/25/2019","D2",20,"10:30","tank4","D2_H1","HW","heating","yes","Yellow",225,0,"10/25/2019 10:30","week1","tank4_heating_yes_10/25/2019 10:30",15.99672912,"tank4_heating_yes_Yellow"
"10/25/2019","D2",20,"10:30","tank4","D2_H1","HNW","heating","no","Yellow",227,0,"10/25/2019 10:30","week1","tank4_heating_no_10/25/2019 10:30",16.3132698,"tank4_heating_no_Yellow"
"10/25/2019","D2",20,"10:30","tank3","D2_H2","HW","heating","yes","Yellow",224,0,"10/25/2019 10:30","week1","tank3_heating_yes_10/25/2019 10:30",16.30756819,"tank3_heating_yes_Yellow"
"10/25/2019","D2",20,"10:30","tank3","D2_H2","HNW","heating","no","Yellow",223,0,"10/25/2019 10:30","week1","tank3_heating_no_10/25/2019 10:30",16.2815378,"tank3_heating_no_Yellow"
"10/25/2019","D2",20,"10:30","tank2","D2_C2","CW","control","yes","Yellow",232,0,"10/25/2019 10:30","week1","tank2_control_yes_10/25/2019 10:30",16.81996719,"tank2_control_yes_Yellow"
"10/25/2019","D2",20,"10:30","tank2","D2_C2","CNW","control","no","Yellow",219,0,"10/25/2019 10:30","week1","tank2_control_no_10/25/2019 10:30",17.01749214,"tank2_control_no_Yellow"
"10/25/2019","D2",20,"10:30","tank1","D2_C1","CW","control","yes","Yellow",227,0,"10/25/2019 10:30","week1","tank1_control_yes_10/25/2019 10:30",16.90558492,"tank1_control_yes_Yellow"
